1;{3CBFFB07-7791-4529-A645-496BA811725B};Length;Длина;Общие
2;{11806A51-7E36-4CFE-94A0-0DA577BE190C};Weight;Масса;Общие
3;{2875BC71-51B9-4D04-A13E-D3FFD18FD5F9};Time;Время;Общие
4;{5BA5643F-87E7-46CA-B967-DF830BDB3BF6};ElectricCurrent;Сила электрического тока;Электротехника
5;{8D13CD71-6D7E-4C54-BC3C-91D2B599AC44};Temperature;Температура;Общие
6;{396A7455-E822-4328-BFA2-DA0512D802F6};AmountSubstance;Количество вещества;Прочее
7;{282226D0-32B8-47D7-92B0-9EAA30DF8B1C};LightPower;Сила света;Светотехника
8;{FB290DA0-E8BA-4269-80A6-928FD767F567};Area;Площадь;Общие
9;{6EA97F04-7E86-4807-8A21-B035754D73AC};Volume;Объем;Общие
10;{D6A66526-B4AD-427A-B994-F005A71194DF};Speed;Скорость;Общие
11;{AE670202-156B-412D-964B-0F625415643B};Acceleration;Ускорение;Общие
12;{C25A3F07-8F90-4C4E-9755-FE54A0CC2C6A};Density;Плотность;Общие
13;{59F65F9F-6B1C-4E02-9FC1-30C01FFBCDE2};SpecificVolume;Удельный объем;Общие
14;{F63D8356-8F3E-4430-9267-3C7F0A1D6841};DensityElectricCurrent;Плотность электрического ток;Электротехника
15;{2F8F3109-1DEC-4592-A55C-653EF1D7E848};MagneticFieldStrength;Напряженность магнитного поля;Электротехника
16;{900F5184-9F6A-4ED4-83E3-132120069F78};Brightness;Яркость;Светотехника
17;{B0EE59A6-7BA3-4A92-BCCF-35A13F586BBF};PlaneAngle;Плоский угол;Общие
18;{5340C698-19F3-4D5B-9D77-AB18D94D80BF};SolidAngle;Телесный угол;Общие
19;{FC01CD5C-2E00-436C-BC2E-1F17698EE494};Frequency;Частота;Общие
20;{53C43633-2D98-4F9A-B2F4-1FD25E712789};Force;Сила;Общие
21;{04C2BB92-9579-4AFC-A391-15FF1AB373DF};Energy;Энергия;Общие
22;{A1A0F2DD-7206-4D5A-87F2-3BA74D6C9EE2};Power;Мощность;Общие
23;{9D26DFBE-C712-425A-A04F-5B5667B27211};Pressure;Давление;Общие
24;{8592B666-C4AD-4A1C-AF28-9E256390571E};LightFlow;Световой поток;Светотехника
25;{6B9FCE29-3A05-4327-822B-102AFAAB913B};Illumination;Освещённость;Светотехника
26;{8D4A2209-5439-4423-80CA-8E847687E20D};ElectricCharge;Электрический заряд;Общие
27;{808F7097-873A-4C8A-812A-67F776598E24};Voltage;Разность потенциалов, напряжение;Электротехника
28;{4DC5D137-6BA4-4418-9EE1-B3DA43732709};Resistance;Сопротивление;Электротехника
29;{FDDEE677-ED02-4513-86A3-2CAC395669DD};ElectricCapacity;Электроёмкость;Электротехника
30;{4E379756-C3FF-4065-A6E7-D5B1C621CA98};Magnetic flux;Магнитный поток;Электротехника
31;{0F2934A1-0318-46C7-A1F5-2FF91981DFCE};MagneticInduction;Магнитная индукция;Электротехника
32;{C140E759-0311-42C2-B9DE-7183E5F6172A};Inductance;Индуктивность;Электротехника
33;{1D09A304-C521-4A6C-A3A6-4082FD9F748A};ElectricalConductivity;Электрическая проводимость;Общие
34;{40D0B3BB-40BD-44A9-A66D-BFC36A785139};ActivityRadioactiveSource;Активность радиоактивного источника;Общие
35;{F8A1AB52-D9A5-4377-858F-EA5B2FB41506};The absorbed dose of ionizing radiation;Поглощённая доза ионизирующего излучения;Радиобиология
36;{BABEBAC4-A687-495E-AC2C-F62BCC9151EF};EffectiveDoseIonizingRadiation;Эффективная доза ионизирующего излучения;Радиобиология
37;{1E53BBA8-B03B-47C8-ACF6-A090F851851B};CatalystActivity;Активность катализатора;Прочее
39;{D1FACF09-B606-4A49-8392-DC502D3999D2};Energy;Энергия;Общие
40;{6EB4250E-0C9F-4B68-8E95-8E3BEF1F1C8C};FullPower;Полная мощность;Электротехника
41;{3FAA8D6D-908A-4314-8EE7-7B19A8F03FE6};ReactivePower;Реактивная мощность;Электротехника
42;{B5E7AC85-93D0-443E-A081-23A2DA260566};QuantityElectricity;Количество электричества;Электротехника
43;{2381362E-D562-4DE7-B1A7-8A52BC22A108};RotationFrequency;Частота вращения;Общие
44;{48554A6C-F20D-4925-A963-BEA7FB39E7EC};AtomicMassUnit;Атомная единица массы;Общие
45;{B7E46D21-98EB-4FDA-BFE3-6630C5140355};RelativeUnit;Относительная единица;Общие
46;{028277C4-116A-4355-9B6C-BDF50755E6DE};Percent;Процент;Общие
47;{E2C4DE72-1636-403A-A78D-5FBC11148D2A};Score;Счет;Общие
